NS 100
ROOT 4443
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8685
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1178
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6531
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4443
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8089
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8753
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6665
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2117
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3420
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5714
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1312
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8975
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1080
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8959
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1312
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1976
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8645
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6665
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8885
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5686
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3462
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7846
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1918
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6663
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4331
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4443
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5514
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2029
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5440
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4643
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1178
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2281
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6825
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5646
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7574
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7534
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8847
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4241
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3424
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8919
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2421
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5480
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3460
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4643
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8917
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1046
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1178
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2421
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8087
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5646
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4513
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1370
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3330
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8089
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5682
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2289
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8717
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4643
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6421
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6531
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6665
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8713
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8757
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4645
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8685
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7864
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5482
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6735
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3420
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6531
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6553
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4515
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6735
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7534
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2229
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8717
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5754
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 7532
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4371
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3532
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1046
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2289
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8975
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 4535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8717
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 5624
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6535
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2229
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1978
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3268
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 8757
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 1280
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 3534
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 2029
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
ROOT 6625
UHF -3,+0,-5,+5
LHF -2,+7,-7,+2
PHF -2,+7,-8,+8
