NS10 VALID
CN0 8210, LN0 5153, HN0 9737
CN1 1503, LN1 8446, HN1 2020
CN2 4896, LN2 1739, HN2 5313
CN3 7189, LN3 4022, HN3 8606
CN4 0472, LN4 7315, HN4 1999
CN5 3765, LN5 0608, HN5 4282
CN6 6058, LN6 3991, HN6 7575
CN7 9341, LN7 6284, HN7 0868
CN8 2634, LN8 9577, HN8 3151
CN9 5927, LN9 2860, HN9 6444
CN10 8210, LN10 5153, HN10 9737
CN11 1503, LN11 8446, HN11 2020
CN12 4896, LN12 1739, HN12 5313
CN13 7189, LN13 4022, HN13 8606
CN14 0472, LN14 7315, HN14 1999
CN15 3765, LN15 0608, HN15 4282
CN16 6058, LN16 3991, HN16 7575
CN17 9341, LN17 6284, HN17 0868
CN18 2634, LN18 9577, HN18 3151
CN19 5927, LN19 2860, HN19 6444

CN0 5921, LN0 2864, HN0 6448
CN1 8214, LN1 5157, HN1 9731
CN2 1507, LN2 8440, HN2 2024
CN3 4890, LN3 1733, HN3 5317
CN4 7183, LN4 4026, HN4 8600
CN5 0476, LN5 7319, HN5 1993
CN6 3769, LN6 0602, HN6 4286
CN7 6052, LN7 3995, HN7 7579
CN8 9345, LN8 6288, HN8 0862
CN9 2638, LN9 9571, HN9 3155
CN10 5921, LN10 2864, HN10 6448
CN11 8214, LN11 5157, HN11 9731
CN12 1507, LN12 8440, HN12 2024
CN13 4890, LN13 1733, HN13 5317
CN14 7183, LN14 4026, HN14 8600
CN15 0476, LN15 7319, HN15 1993
CN16 3769, LN16 0602, HN16 4286
CN17 6052, LN17 3995, HN17 7579
CN18 9345, LN18 6288, HN18 0862
CN19 2638, LN19 9571, HN19 3155

CN0 5781, LN0 2624, HN0 6208
CN1 8074, LN1 5917, HN1 9591
CN2 1367, LN2 8200, HN2 2884
CN3 4650, LN3 1593, HN3 5177
CN4 7943, LN4 4886, HN4 8460
CN5 0236, LN5 7179, HN5 1753
CN6 3529, LN6 0462, HN6 4046
CN7 6812, LN7 3755, HN7 7339
CN8 9105, LN8 6048, HN8 0622
CN9 2498, LN9 9331, HN9 3915
CN10 5781, LN10 2624, HN10 6208
CN11 8074, LN11 5917, HN11 9591
CN12 1367, LN12 8200, HN12 2884
CN13 4650, LN13 1593, HN13 5177
CN14 7943, LN14 4886, HN14 8460
CN15 0236, LN15 7179, HN15 1753
CN16 3529, LN16 0462, HN16 4046
CN17 6812, LN17 3755, HN17 7339
CN18 9105, LN18 6048, HN18 0622
CN19 2498, LN19 9331, HN19 3915

CN0 0412, LN0 7355, HN0 1939
CN1 3705, LN1 0648, HN1 4222
CN2 6098, LN2 3931, HN2 7515
CN3 9381, LN3 6224, HN3 0808
CN4 2674, LN4 9517, HN4 3191
CN5 5967, LN5 2800, HN5 6484
CN6 8250, LN6 5193, HN6 9777
CN7 1543, LN7 8486, HN7 2060
