NS 10
ROOT 9391
UHF +2,+0,-1,-1
LHF +3,-5,-6,+9
PHF +7,-8,-7,+9
ROOT 2558
UHF +2,+6,-5,-5
LHF +4,+6,-6,-6
PHF +0,-6,+2,+2
ROOT 9440
UHF +2,-2,+6,+3
LHF +3,-8,+8,-2
PHF +7,+8,+3,-6
ROOT 6569
UHF -8,+5,+5,-6
LHF +6,-7,-5,+5
PHF +9,+4,+0,-6
ROOT 1941
UHF -8,+2,-8,+3
LHF +3,-8,+2,-4
PHF -8,+0,-1,-1
ROOT 9926
UHF +0,+1,+0,-5
LHF -4,-6,-2,-8
PHF +0,+6,+8,-8
ROOT 4239
UHF -4,+9,-8,-5
LHF +7,+3,+7,+2
PHF -7,-1,-3,-6
ROOT 8190
UHF -5,+4,-7,-4
LHF -6,+0,-4,+4
PHF +9,-3,-8,-8
ROOT 5524
UHF +9,+5,+5,+1
LHF +4,+5,+4,-3
PHF -2,-4,+4,+4
ROOT 5578
UHF +0,+7,-3,-5
LHF -5,-4,+0,-6
PHF +6,+7,-6,-9
