NS10 VALID
CN0 8160, LN0 3229, HN0 8989
CN1 5937, LN1 0096, HN1 5756
CN2 2704, LN2 7863, HN2 2523
CN3 9571, LN3 4630, HN3 9390
CN4 6348, LN4 1407, HN4 6167

CN0 0521, LN0 5680, HN0 0340
CN1 7398, LN1 2457, HN1 7117
CN2 4165, LN2 9224, HN2 4984
CN3 1932, LN3 6091, HN3 1751
CN4 8709, LN4 3868, HN4 8528

CN0 8320, LN0 3489, HN0 8149
CN1 5197, LN1 0256, HN1 5916
CN2 2964, LN2 7023, HN2 2783
CN3 9731, LN3 4890, HN3 9550
CN4 6508, LN4 1667, HN4 6327

CN0 5621, LN0 0780, HN0 5440
CN1 2498, LN1 7557, HN1 2217
CN2 9265, LN2 4324, HN2 9084
CN3 6032, LN3 1191, HN3 6851
CN4 3809, LN4 8968, HN4 3628

CN0 4765, LN0 9824, HN0 4584
CN1 1532, LN1 6691, HN1 1351
CN2 8309, LN2 3468, HN2 8128
CN3 5176, LN3 0235, HN3 5995
CN4 2943, LN4 7002, HN4 2762

CN0 3874, LN0 8933, HN0 3693
CN1 0641, LN1 5700, HN1 0460
CN2 7418, LN2 2577, HN2 7237
CN3 4285, LN3 9344, HN3 4004
CN4 1052, LN4 6111, HN4 1871

CN0 4735, LN0 9894, HN0 4554
CN1 1502, LN1 6661, HN1 1321
CN2 8379, LN2 3438, HN2 8198
CN3 5146, LN3 0205, HN3 5965
CN4 2913, LN4 7072, HN4 2732

CN0 9310, LN0 4479, HN0 9139
CN1 6187, LN1 1246, HN1 6906
CN2 3954, LN2 8013, HN2 3773
CN3 0721, LN3 5880, HN3 0540
CN4 7598, LN4 2657, HN4 7317

CN0 3409, LN0 8568, HN0 3228
CN1 0276, LN1 5335, HN1 0095
CN2 7043, LN2 2102, HN2 7862
CN3 4810, LN3 9979, HN3 4639
CN4 1687, LN4 6746, HN4 1406

CN0 0169, LN0 5228, HN0 0988
CN1 7936, LN1 2095, HN1 7755
CN2 4703, LN2 9862, HN2 4522
CN3 1570, LN3 6639, HN3 1399
CN4 8347, LN4 3406, HN4 8166

