NS100 VALID
CN0 4583, LN0 5237, HN0 7143
CN1 4598, LN1 5242, HN1 7158
CN2 4503, LN2 5257, HN2 7163
CN3 4518, LN3 5262, HN3 7178
CN4 4523, LN4 5277, HN4 7183

CN0 8592, LN0 9246, HN0 1152
CN1 8507, LN1 9251, HN1 1167
CN2 8512, LN2 9266, HN2 1172
CN3 8527, LN3 9271, HN3 1187
CN4 8532, LN4 9286, HN4 1192

CN0 9810, LN0 0564, HN0 2470
CN1 9825, LN1 0579, HN1 2485
CN2 9830, LN2 0584, HN2 2490
CN3 9845, LN3 0599, HN3 2405
CN4 9850, LN4 0504, HN4 2410

CN0 4785, LN0 5439, HN0 7345
CN1 4790, LN1 5444, HN1 7350
CN2 4705, LN2 5459, HN2 7365
CN3 4710, LN3 5464, HN3 7370
CN4 4725, LN4 5479, HN4 7385

CN0 5692, LN0 6346, HN0 8252
CN1 5607, LN1 6351, HN1 8267
CN2 5612, LN2 6366, HN2 8272
CN3 5627, LN3 6371, HN3 8287
CN4 5632, LN4 6386, HN4 8292

CN0 1932, LN0 2686, HN0 4592
CN1 1947, LN1 2691, HN1 4507
CN2 1952, LN2 2606, HN2 4512
CN3 1967, LN3 2611, HN3 4527
CN4 1972, LN4 2626, HN4 4532

CN0 5683, LN0 6337, HN0 8243
CN1 5698, LN1 6342, HN1 8258
CN2 5603, LN2 6357, HN2 8263
CN3 5618, LN3 6362, HN3 8278
CN4 5623, LN4 6377, HN4 8283

CN0 4163, LN0 5817, HN0 7723
CN1 4178, LN1 5822, HN1 7738
CN2 4183, LN2 5837, HN2 7743
CN3 4198, LN3 5842, HN3 7758
CN4 4103, LN4 5857, HN4 7763

CN0 4785, LN0 5439, HN0 7345
CN1 4790, LN1 5444, HN1 7350
CN2 4705, LN2 5459, HN2 7365
CN3 4710, LN3 5464, HN3 7370
CN4 4725, LN4 5479, HN4 7385

CN0 1563, LN0 2217, HN0 4123
CN1 1578, LN1 2222, HN1 4138
CN2 1583, LN2 2237, HN2 4143
CN3 1598, LN3 2242, HN3 4158
CN4 1503, LN4 2257, HN4 4163

CN0 5798, LN0 6442, HN0 8358
CN1 5703, LN1 6457, HN1 8363
CN2 5718, LN2 6462, HN2 8378
CN3 5723, LN3 6477, HN3 8383
CN4 5738, LN4 6482, HN4 8398

CN0 5274, LN0 6928, HN0 8834
CN1 5289, LN1 6933, HN1 8849
CN2 5294, LN2 6948, HN2 8854
CN3 5209, LN3 6953, HN3 8869
CN4 5214, LN4 6968, HN4 8874

CN0 1830, LN0 2584, HN0 4490
CN1 1845, LN1 2599, HN1 4405
CN2 1850, LN2 2504, HN2 4410
CN3 1865, LN3 2519, HN3 4425
CN4 1870, LN4 2524, HN4 4430

CN0 9716, LN0 0460, HN0 2376
CN1 9721, LN1 0475, HN1 2381
CN2 9736, LN2 0480, HN2 2396
CN3 9741, LN3 0495, HN3 2301
CN4 9756, LN4 0400, HN4 2316

CN0 0612, LN0 1366, HN0 3272
CN1 0627, LN1 1371, HN1 3287
CN2 0632, LN2 1386, HN2 3292
CN3 0647, LN3 1391, HN3 3207
CN4 0652, LN4 1306, HN4 3212

CN0 5674, LN0 6328, HN0 8234
CN1 5689, LN1 6333, HN1 8249
CN2 5694, LN2 6348, HN2 8254
CN3 5609, LN3 6353, HN3 8269
CN4 5614, LN4 6368, HN4 8274

CN0 8027, LN0 9771, HN0 1687
CN1 8032, LN1 9786, HN1 1692
CN2 8047, LN2 9791, HN2 1607
CN3 8052, LN3 9706, HN3 1612
CN4 8067, LN4 9711, HN4 1627

CN0 4370, LN0 5024, HN0 7930
CN1 4385, LN1 5039, HN1 7945
CN2 4390, LN2 5044, HN2 7950
CN3 4305, LN3 5059, HN3 7965
CN4 4310, LN4 5064, HN4 7970

CN0 9716, LN0 0460, HN0 2376
CN1 9721, LN1 0475, HN1 2381
CN2 9736, LN2 0480, HN2 2396
CN3 9741, LN3 0495, HN3 2301
CN4 9756, LN4 0400, HN4 2316

CN0 1832, LN0 2586, HN0 4492
CN1 1847, LN1 2591, HN1 4407
CN2 1852, LN2 2506, HN2 4412
CN3 1867, LN3 2511, HN3 4427
CN4 1872, LN4 2526, HN4 4432

CN0 4785, LN0 5439, HN0 7345
CN1 4790, LN1 5444, HN1 7350
CN2 4705, LN2 5459, HN2 7365
CN3 4710, LN3 5464, HN3 7370
CN4 4725, LN4 5479, HN4 7385

CN0 8790, LN0 9444, HN0 1350
CN1 8705, LN1 9459, HN1 1365
CN2 8710, LN2 9464, HN2 1370
CN3 8725, LN3 9479, HN3 1385
CN4 8730, LN4 9484, HN4 1390

CN0 8705, LN0 9459, HN0 1365
CN1 8710, LN1 9464, HN1 1370
CN2 8725, LN2 9479, HN2 1385
CN3 8730, LN3 9484, HN3 1390
CN4 8745, LN4 9499, HN4 1305

CN0 5801, LN0 6555, HN0 8461
CN1 5816, LN1 6560, HN1 8476
CN2 5821, LN2 6575, HN2 8481
CN3 5836, LN3 6580, HN3 8496
CN4 5841, LN4 6595, HN4 8401

CN0 8496, LN0 9140, HN0 1056
CN1 8401, LN1 9155, HN1 1061
CN2 8416, LN2 9160, HN2 1076
CN3 8421, LN3 9175, HN3 1081
CN4 8436, LN4 9180, HN4 1096

CN0 4376, LN0 5020, HN0 7936
