NS300 VALID
CN0 3162, LN0 6748, HN0 3975
CN1 9483, LN1 2069, HN1 9296
CN2 5704, LN2 8380, HN2 5517
CN3 1025, LN3 4601, HN3 1838
CN4 7346, LN4 0922, HN4 7159

CN0 1984, LN0 4560, HN0 1797
CN1 7205, LN1 0881, HN1 7018
CN2 3526, LN2 6102, HN2 3339
CN3 9847, LN3 2423, HN3 9650
CN4 5168, LN4 8744, HN4 5971

CN0 9320, LN0 2906, HN0 9133
CN1 5641, LN1 8227, HN1 5454
CN2 1962, LN2 4548, HN2 1775
CN3 7283, LN3 0869, HN3 7096
CN4 3504, LN4 6180, HN4 3317

CN0 4196, LN0 7772, HN0 4909
CN1 0417, LN1 3093, HN1 0220
CN2 6738, LN2 9314, HN2 6541
CN3 2059, LN3 5635, HN3 2862
CN4 8370, LN4 1956, HN4 8183

CN0 0831, LN0 3417, HN0 0644
CN1 6152, LN1 9738, HN1 6965
CN2 2473, LN2 5059, HN2 2286
CN3 8794, LN3 1370, HN3 8507
CN4 4015, LN4 7691, HN4 4828

CN0 0174, LN0 3750, HN0 0987
CN1 6495, LN1 9071, HN1 6208
CN2 2716, LN2 5392, HN2 2529
CN3 8037, LN3 1613, HN3 8840
CN4 4358, LN4 7934, HN4 4161

CN0 7849, LN0 0425, HN0 7652
CN1 3160, LN1 6746, HN1 3973
CN2 9481, LN2 2067, HN2 9294
CN3 5702, LN3 8388, HN3 5515
CN4 1023, LN4 4609, HN4 1836

CN0 1627, LN0 4203, HN0 1430
CN1 7948, LN1 0524, HN1 7751
CN2 3269, LN2 6845, HN2 3072
CN3 9580, LN3 2166, HN3 9393
CN4 5801, LN4 8487, HN4 5614

CN0 7843, LN0 0429, HN0 7656
CN1 3164, LN1 6740, HN1 3977
CN2 9485, LN2 2061, HN2 9298
CN3 5706, LN3 8382, HN3 5519
CN4 1027, LN4 4603, HN4 1830

CN0 4950, LN0 7536, HN0 4763
CN1 0271, LN1 3857, HN1 0084
CN2 6592, LN2 9178, HN2 6305
CN3 2813, LN3 5499, HN3 2626
CN4 8134, LN4 1710, HN4 8947

CN0 2631, LN0 5217, HN0 2444
CN1 8952, LN1 1538, HN1 8765
CN2 4273, LN2 7859, HN2 4086
CN3 0594, LN3 3170, HN3 0307
CN4 6815, LN4 9491, HN4 6628

CN0 9643, LN0 2229, HN0 9456
CN1 5964, LN1 8540, HN1 5777
CN2 1285, LN2 4861, HN2 1098
CN3 7506, LN3 0182, HN3 7319
CN4 3827, LN4 6403, HN4 3630

CN0 0532, LN0 3118, HN0 0345
CN1 6853, LN1 9439, HN1 6666
CN2 2174, LN2 5750, HN2 2987
CN3 8495, LN3 1071, HN3 8208
CN4 4716, LN4 7392, HN4 4529

CN0 9063, LN0 2649, HN0 9876
CN1 5384, LN1 8960, HN1 5197
CN2 1605, LN2 4281, HN2 1418
CN3 7926, LN3 0502, HN3 7739
CN4 3247, LN4 6823, HN4 3050

CN0 4273, LN0 7859, HN0 4086
CN1 0594, LN1 3170, HN1 0307
CN2 6815, LN2 9491, HN2 6628
CN3 2136, LN3 5712, HN3 2949
CN4 8457, LN4 1033, HN4 8260

CN0 0851, LN0 3437, HN0 0664
CN1 6172, LN1 9758, HN1 6985
CN2 2493, LN2 5079, HN2 2206
CN3 8714, LN3 1390, HN3 8527
CN4 4035, LN4 7611, HN4 4848

CN0 2394, LN0 5970, HN0 2107
CN1 8615, LN1 1291, HN1 8428
CN2 4936, LN2 7512, HN2 4749
CN3 0257, LN3 3833, HN3 0060
CN4 6578, LN4 9154, HN4 6381

CN0 0194, LN0 3770, HN0 0907
CN1 6415, LN1 9091, HN1 6228
CN2 2736, LN2 5312, HN2 2549
CN3 8057, LN3 1633, HN3 8860
CN4 4378, LN4 7954, HN4 4181

CN0 2073, LN0 5659, HN0 2886
CN1 8394, LN1 1970, HN1 8107
CN2 4615, LN2 7291, HN2 4428
CN3 0936, LN3 3512, HN3 0749
CN4 6257, LN4 9833, HN4 6060

CN0 8275, LN0 1851, HN0 8088
CN1 4596, LN1 7172, HN1 4309
CN2 0817, LN2 3493, HN2 0620
CN3 6138, LN3 9714, HN3 6941
CN4 2459, LN4 5035, HN4 2262

CN0 2651, LN0 5237, HN0 2464
CN1 8972, LN1 1558, HN1 8785
CN2 4293, LN2 7879, HN2 4006
CN3 0514, LN3 3190, HN3 0327
CN4 6835, LN4 9411, HN4 6648

CN0 2095, LN0 5671, HN0 2808
CN1 8316, LN1 1992, HN1 8129
CN2 4637, LN2 7213, HN2 4440
CN3 0958, LN3 3534, HN3 0761
CN4 6279, LN4 9855, HN4 6082

CN0 2631, LN0 5217, HN0 2444
CN1 8952, LN1 1538, HN1 8765
CN2 4273, LN2 7859, HN2 4086
CN3 0594, LN3 3170, HN3 0307
CN4 6815, LN4 9491, HN4 6628

CN0 4172, LN0 7758, HN0 4985
CN1 0493, LN1 3079, HN1 0206
CN2 6714, LN2 9390, HN2 6527
CN3 2035, LN3 5611, HN3 2848
CN4 8356, LN4 1932, HN4 8169

CN0 2653, LN0 5239, HN0 2466
